United States of America,2007,1970.7496,1558.7559,23547.3911,10898.482,50563.8669,11037,62048.1673,-442325.7227,0,119415.7487,81037.8512,22865.8386,29908.0694,50126.9296,113009.6372,22918.2402,497050.7749,14532.4763,35244.9704,50018.0282,0,1.9482,61160.3566,59309491,241285684,149147060,153596338,816589.5596,1.015416667
United States of America,2008,1160.9667,2068.4252,23926.2791,11802.728,50502.9608,10876,59106.5553,-442325.7227,0,116142.4414,84070.491,21513.1261,29846.6491,50160.3901,114748.455,23062.5699,496872.5574,14756.0458,35014.6939,52002.1121,0,0,59283.771,59345012,244029055,150592791,155102120,814591.4952,0.15025
United States of America,2009,1332.1128,1093.5759,24815.3832,12306.35,50474.0471,10604,56779.4876,-442325.7227,0,109185.2986,85109.5874,21218.7192,25864.2253,50176.5705,106523.5124,22132.3595,499434.6311,14128.4036,34617.1053,50343.8768,0,2.922,55048.0868,59361054,246715308,151968684,156543351,788864.5324,0.3549166667
United States of America,2010,741.2273,912.6399,24102.152,14336.91,50470.9077,11314,59172.6151,-442325.7227,0,109592.6549,89222.0773,20459.172,26591.3906,50299.5206,107670.1576,22542.3979,546420.0236,14095.0647,34444.7339,50193.8557,0,0.1392,56536.7447,59344315,249297076,153272866,157909979,846792.662,0.6931666667
United States of America,2011,2200.3468,1330.2757,22949.6934,10378.886,50446.6357,11757,59653.9278,-459348.34,0,104666.0947,90144.8329,17531.6652,24822.8187,50440.635,98535.4313,24304.0339,554787.6511,14157.7621,34020.3646,50671.6106,0,0.4174,53561.7556,59275426,251775947,154669482,159207127,817013.4985,0.73925
United States of America,2012,1616.5661,1173.5953,22132.1804,10624.768,50395.0639,12133,58428.9668,-459348.34,0,95256.447,88722.2066,15065.1863,23630.6622,50676.3764,97001.0433,22446.123,548942.9598,14106.3293,33393.1263,50507.8014,0,0.2783,51037.2406,59160759,254174664,156181261,160470060,787941.581,1.389333333
United States of America,2013,813.4448,1284.547,25374.1695,9791.964,50278.6788,12154,60908.3831,-459348.34,0,101231.3334,92370.3917,14595.6378,22904.6544,50786.1968,98699.2524,27417.8896,550123.6507,13936.5609,33005.8906,49875.5962,0,0,55433.3326,59009166,256527510,157662345,161712821,811637.2343,0.5000833333
United States of America,2014,946.473,1336.9865,26451.8114,11632.208,50220.1365,12111,61312.2365,-459348.34,0,102899.6201,94151.4949,13497.9636,24834.415,50924.4915,101586.7931,28404.0437,564052.9511,13968.7964,32425.8929,50759.536,0,1.2526,53366.6183,58833036,258885743,159103717,162930247,835536.3811,0.7614166667
United States of America,2015,1521.927,2235.1868,26054.2178,10212.384,50180.3232,11754,64147.0182,-459348.34,0,95512.8879,91897.6192,17430.5057,24254.4586,50659.9069,97619.014,27256.1893,569232.2148,14036.8547,32641.1287,51239.69,0,1.9482,53322.7363,58641351,261287811,160493394,164114383,831861.8713,1.560416667
United States of America,2016,1214.1887,1438.7519,29390.7271,12282.536,50005.1595,11487,64980.6774,-331408.0367,59727.2867,91080.3891,90418.9514,17877.2609,23768.9908,50722.3597,102121.8059,28657.7361,568686.3602,14348.3609,33635.1063,52470.7194,0,1.9479,51375.615,58436293,263743312,161895324,165314874,1024283.894,2.000833333
United States of America,2017,1749.8832,2664.9144,26788.5264,9415.154,49966.2851,11345,65488.4974,-331408.0367,59727.2867,88102.4958,87886.8002,19932.3346,20429.1539,50602.1135,99687.407,32212.5996,576485.924,14555.303,34283.0121,53431.3372,0,3.4788,50577.6296,58215947,266243516,163282016,166509214,1023927.1,1.572333333
United States of America,2018,1540.0409,2457.9409,26846.6988,11540.97,50091.9803,11207,67945.765,-331408.0367,59727.2867,94024.7859,87771.8703,18522.7103,19689.1237,50458.9393,100011.3424,34560.6132,575492.8148,14639.287,34517.9825,54262.4288,0,3.4785,51007.8455,57980034,268786714,164538320,167601717,1034912.868,1.243166667
United States of America,2019,988.5763,1190.9796,24747.3192,9823.716,50226.9948,10884,67843.5764,-331408.0367,59727.2867,89168.2493,85864.7359,28871.6279,19054.7061,50297.7281,91981.1421,34931.9932,579469.2698,14684.518,34729.573,55231.7961,0,0.4175,43785.9965,57727196,271365914,165698830,168620840,1022096.166,1.053916667
